countyFIPS,County Name,State,StateFIPS,2023-07-17_cases,2023-07-18_cases,2023-07-19_cases,2023-07-20_cases,2023-07-21_cases,2023-07-22_cases,2023-07-23_cases,2023-07-17_deaths,2023-07-18_deaths,2023-07-19_deaths,2023-07-20_deaths,2023-07-21_deaths,2023-07-22_deaths,2023-07-23_deaths,population
00000,Statewide Unallocated,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01013,Butler County,AL,1,6617,6617,6617,6617,6617,6617,6617,132,132,132,132,132,132,132,19448
01001,Autauga County,AL,1,19913,19913,19913,19913,19913,19913,19913,235,235,235,235,235,235,235,55869
01003,Baldwin County,AL,1,70521,70521,70521,70521,70521,70521,70521,731,731,731,731,731,731,731,223234
01005,Barbour County,AL,1,7582,7582,7582,7582,7582,7582,7582,104,104,104,104,104,104,104,24686
01081,Lee County,AL,1,48087,48087,48087,48087,48087,48087,48087,373,373,373,373,373,373,373,164542
01031,Coffee County,AL,1,17358,17358,17358,17358,17358,17358,17358,246,246,246,246,246,246,246,52342
01011,Bullock County,AL,1,3057,3057,3057,3057,3057,3057,3057,54,54,54,54,54,54,54,10101
01029,Cleburne County,AL,1,4460,4460,4460,4460,4460,4460,4460,73,73,73,73,73,73,73,14910
01065,Hale County,AL,1,5793,5793,5793,5793,5793,5793,5793,110,110,110,110,110,110,110,14651
01021,Chilton County,AL,1,13073,13073,13073,13073,13073,13073,13073,221,221,221,221,221,221,221,44428
01023,Choctaw County,AL,1,2260,2260,2260,2260,2260,2260,2260,39,39,39,39,39,39,39,12589
01025,Clarke County,AL,1,8630,8630,8630,8630,8630,8630,8630,107,107,107,107,107,107,107,23622
01027,Clay County,AL,1,5223,5223,5223,5223,5223,5223,5223,94,94,94,94,94,94,94,13235
01015,Calhoun County,AL,1,41931,41931,41931,41931,41931,41931,41931,683,683,683,683,683,683,683,113605
01019,Cherokee County,AL,1,6803,6803,6803,6803,6803,6803,6803,89,89,89,89,89,89,89,26196
01007,Bibb County,AL,1,8149,8149,8149,8149,8149,8149,8149,111,111,111,111,111,111,111,22394
01049,DeKalb County,AL,1,22664,22664,22664,22664,22664,22664,22664,347,347,347,347,347,347,347,71513
01047,Dallas County,AL,1,11099,11099,11099,11099,11099,11099,11099,260,260,260,260,260,260,260,37196
01037,Coosa County,AL,1,3805,3805,3805,3805,3805,3805,3805,64,64,64,64,64,64,64,10663
01039,Covington County,AL,1,11885,11885,11885,11885,11885,11885,11885,266,266,266,266,266,266,266,37049
01041,Crenshaw County,AL,1,4766,4766,4766,4766,4766,4766,4766,111,111,111,111,111,111,111,13772
01043,Cullman County,AL,1,31723,31723,31723,31723,31723,31723,31723,400,400,400,400,400,400,400,83768
01045,Dale County,AL,1,16715,16715,16715,16715,16715,16715,16715,245,245,245,245,245,245,245,49172
01061,Geneva County,AL,1,8001,8001,8001,8001,8001,8001,8001,174,174,174,174,174,174,174,26271
01063,Greene County,AL,1,2351,2351,2351,2351,2351,2351,2351,54,54,54,54,54,54,54,8111
01051,Elmore County,AL,1,30079,30079,30079,30079,30079,30079,30079,364,364,364,364,364,364,364,81209
01053,Escambia County,AL,1,12549,12549,12549,12549,12549,12549,12549,181,181,181,181,181,181,181,36633
01055,Etowah County,AL,1,34402,34402,34402,34402,34402,34402,34402,696,696,696,696,696,696,696,102268
01057,Fayette County,AL,1,5949,5949,5949,5949,5949,5949,5949,100,100,100,100,100,100,100,16302
01059,Franklin County,AL,1,12248,12248,12248,12248,12248,12248,12248,154,154,154,154,154,154,154,31362
01035,Conecuh County,AL,1,3654,3654,3654,3654,3654,3654,3654,76,76,76,76,76,76,76,12067
